,Label,chroma_stft_mean,chroma_stft_std,chroma_cqt_mean,chroma_cqt_std,chroma_cens_mean,chroma_cens_std,chroma_vqt_mean,chroma_vqt_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean,spectral_contrast_std,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,poly_features_mean,poly_features_std,tonnetz_mean,tonnetz_std,zero_crossing_rate_mean,zero_crossing_rate_std
0,kick,0.93759066,0.07343292,0.30760244,0.25697428,0.20476562,0.20348063,0.34162506,0.3067612,0.12434244,1.9875824,-24.354006,148.2581,0.17465992,0.1766475,81.8578241805953,56.95701065140155,437.00102137235615,172.16953332315427,11.638343666087696,9.211035291012871,4.9332425e-06,1.9173407e-05,101.513671875,65.3279256172121,0.537474544090774,1.0655701177627503,-0.010784865858749923,0.10837342031801846,0.0009940011160714285,0.0014324100896020233
1,kick,0.8815091,0.12047021,0.3553053,0.24189286,0.23142576,0.17255566,0.3288365,0.3053539,0.06601266,1.3056641,-26.787252,150.3125,0.09343664,0.14304735,545.2897335347903,489.6609894032555,1311.0606111022805,764.7608040129338,11.257921067320938,9.571284753251923,0.001254972,0.003150274,999.755859375,1388.5330092133274,0.27048505493055475,0.6951612213676646,-0.008347497481707785,0.08614585577629622,0.007149832589285714,0.0029850102484346554
2,kick,0.90376914,0.10352266,0.34580344,0.24293153,0.22903363,0.17571831,0.3244549,0.30958283,0.076893665,1.4026382,-26.36181,150.96576,0.10311811,0.14298356,300.93948055585463,345.9244588809051,922.80035612902,625.3146898186858,11.336127900682916,9.303626021692821,0.0004820789,0.0015581246,430.6640625,875.7606830380355,0.3107954064681257,0.7806998893001664,-0.006224318939595189,0.09341667341393754,0.0028118265086206897,0.0019432298014888886
3,kick,0.8173569,0.15406738,0.40995386,0.2534928,0.22648716,0.17898855,0.38928604,0.30341485,0.1558171,2.3368485,-24.990269,145.73672,0.15252675,0.17098568,1049.9770569696555,1077.2294553050356,1844.1477989249188,1097.032243419232,11.600437014630106,9.911443588066987,0.011405394,0.030725503,2469.140625,3236.6409192958376,0.4241513022077421,0.9592949030140439,0.01695841759531108,0.04569446090570724,0.019002278645833332,0.014318465494872052
4,kick,0.6993906,0.2080229,0.43967724,0.2779999,0.24132283,0.15841913,0.46602008,0.30834195,0.0044275937,0.12432218,-36.9803,175.29846,0.018758604,0.039633606,3806.6945569955465,2586.6265679721732,2241.9790431577826,1213.419113596939,10.575094735712522,9.008993186406503,0.31268138,0.2244406,6172.8515625,4241.928948302655,0.05029057859696653,0.18637377607962244,-0.016106120184813843,0.05197092647404456,0.3617572206439394,0.24652612843212945
5,kick,0.6937306,0.1913738,0.5304077,0.32071027,0.23986782,0.16061372,0.6159508,0.28548133,0.00186445,0.054962873,-41.412975,185.01067,0.009957306,0.027732072,4903.7622706398515,1680.903535461618,2849.648750434826,715.0455891736547,10.487521324198555,9.686100736864182,0.42085126,0.16070946,8122.585227272727,2693.4207907689233,0.025350520908917793,0.13084226489859993,0.005365019221447436,0.06465243255166676,0.4793294270833333,0.15223604281143646
6,kick,0.8539313,0.16527255,0.4711051,0.28081134,0.25091377,0.14274316,0.5109005,0.26834068,0.04341504,0.87947464,-30.498432,156.2811,0.06751407,0.116428144,1938.5924639671096,2555.1063744890707,1430.241494306517,1246.575672213435,10.595602610725841,8.473105010759516,0.15775327,0.2236575,3166.033380681818,4258.820966384468,0.22043525046935053,0.6322867605386333,0.0285622428435456,0.05856059325138229,0.17740885416666666,0.2369463704496972
7,kick,0.8429839,0.17778353,0.58713716,0.30357313,0.25974464,0.12596051,0.5589545,0.29426885,0.03564519,0.82537407,-30.974085,156.81203,0.06061124,0.11348132,2082.4584256904127,2563.5969715099127,1519.9970714760916,1270.9354547931343,10.792446236278943,8.420780880383013,0.17960279,0.23951833,3453.142755681818,4327.4898219602555,0.18006436899342537,0.5809111299221208,0.010192767776510245,0.05533203771363355,0.19079959753787878,0.2378829311811831
8,kick,0.7989145,0.15927832,0.5947022,0.22650994,0.25872278,0.12804633,0.6024816,0.23438029,0.41431382,4.0435247,-18.513788,90.28209,0.3734646,0.12404601,1402.7371409698897,732.3213018131529,1805.4200329387531,378.5019753483761,11.426148312148813,11.517287921969958,0.01712769,0.044230457,2928.515625,1139.7259254081641,1.63002558988576,2.141803289722165,-0.014464766091159808,0.05879115529699123,0.03173828125,0.017776754186042517
9,kick,0.87885004,0.11923577,0.6406346,0.17904168,0.27402297,0.090800606,0.54982394,0.2696287,0.011154025,0.15373209,-29.069178,149.26997,0.08478879,0.10669637,891.7364834690381,498.0533087017078,1832.7990958335058,552.7312965187015,11.200281314108148,11.184431993253888,0.002787852,0.005167761,1889.53857421875,1691.5475524218662,0.18989775924318958,0.38371907756062074,-0.006838029897637255,0.022985038573749138,0.013763427734375,0.0072654271867957435
10,kick,0.8953029,0.0923457,0.8077689,0.12451868,0.28432605,0.04992036,0.57854474,0.27817592,0.10504434,2.404064,-23.930637,121.63159,0.13913669,0.12299948,969.5619164578915,589.0622689542389,1727.3806347970822,454.3148149656038,9.979609804744493,10.337900972167438,0.0071166726,0.0131850075,1946.6015625,1577.0539280893506,0.47363767513962085,1.2092133810143648,0.003388084114616023,0.013347367087233315,0.00927734375,0.0028134492755640494
11,kick,0.8292571,0.14818653,0.756401,0.1697835,0.27686524,0.08172503,0.6688858,0.21074745,0.03574845,0.8189892,-25.845226,122.41802,0.09160495,0.1014321,1263.5261494578665,739.4239299127785,1752.6857125105066,358.99949543187125,11.68834351761571,11.062859943094777,0.01795772,0.059440028,2650.9765625,1399.6561581849378,0.3005953609999171,0.6785291287649876,0.0032017809472710676,0.015533614627911625,0.030951605902777776,0.00602024113491293
12,kick,0.82931787,0.14814281,0.6988614,0.22033772,0.26064304,0.124090895,0.6469216,0.26348677,0.07201356,1.0934469,-24.29089,135.09424,0.21531074,0.12411898,576.3616023476476,475.86283382268715,1141.4211126260907,313.15855757567067,12.390090438930226,8.895243945953899,0.00077759364,0.0018268268,1044.3603515625,1107.600235880778,0.3544199893149542,0.524151875799929,0.00424178848683212,0.038888874176982655,0.00567626953125,0.0017078941137247585
13,kick,0.8527819,0.12998322,0.67235976,0.25242117,0.2763438,0.083471105,0.5774456,0.27163073,0.0055097896,0.16287312,-36.462013,166.85793,0.013918635,0.03826557,2199.0063095909613,996.6351368089787,2722.1895653251177,602.911601813073,10.915788656654552,10.152372788614224,0.046799924,0.07878661,5402.0555065524195,2201.123015929761,0.04750501702895415,0.2636596619701059,0.004228265930206257,0.03763773922950944,0.08549253402217742,0.05406328495901754
14,kick,0.7899859,0.18560873,0.6557017,0.22579971,0.26703662,0.10965755,0.61129683,0.26737228,0.023770135,0.4605366,-31.82187,154.94272,0.052312188,0.068369895,2207.504752711621,2413.8579260554093,1718.8229760711872,1087.2962850958513,11.787668540035797,10.8586888178571,0.15152013,0.22252919,3580.1290760869565,3934.236029626793,0.1610886117589345,0.43390378997909723,-0.006965187749574969,0.040499364440485,0.15622877038043478,0.20513237862140815
15,kick,0.79307365,0.17321956,0.5570472,0.25342,0.26370198,0.11745041,0.5611169,0.26016182,0.008571022,0.15460621,-31.119455,142.90971,0.038953617,0.046135608,2368.1715680643056,1779.3901695148104,2160.321537192407,562.9402128994448,11.74799162587504,12.031839253561015,0.09757272,0.18047474,4302.895720108696,2902.9028292729317,0.16197661183123624,0.35563399855967964,-0.02472677503308368,0.037143043338255355,0.12614639945652173,0.1407533223202204
16,kick,0.75591046,0.18656144,0.6563951,0.21355039,0.27851447,0.075914524,0.6081556,0.2596241,0.010843067,0.24397898,-34.464893,160.23029,0.03433618,0.0568027,3317.5270311203076,2259.0309153812095,2456.9826362552267,833.7101099409834,11.272458756053608,10.039432439521978,0.24751684,0.24258453,5883.24558423913,3525.8632561343975,0.09098353971110291,0.32101275850110056,-0.0062510829266776875,0.04130479338971233,0.2580672554347826,0.24193136228874162
17,kick,0.7677141,0.18104456,0.6692809,0.2335582,0.2761012,0.0842702,0.5709283,0.28013638,0.014005257,0.34872034,-36.041832,164.28484,0.038349472,0.07523137,3686.656268467151,2238.9950741231546,2536.385452262435,926.4537804349397,11.103291973822861,10.275251927179164,0.28291366,0.22950847,6433.74660326087,3578.3501960486847,0.05682923521117387,0.22469982844792752,0.0019256436838177861,0.010811887627553977,0.3112899116847826,0.23273711149386506
18,kick,0.7355291,0.2080084,0.6663807,0.22331159,0.27993962,0.07047806,0.53394485,0.27763832,0.033216003,0.4423108,-33.20447,156.78496,0.061011527,0.08329061,3181.8129673476865,2266.5246779252598,2391.9098866703825,905.3584628892075,11.160328627728692,10.358944858629599,0.22727384,0.23843092,5512.5,3757.533885561683,0.19213806464507285,0.5043088231261894,0.016299588806630086,0.03186834905943749,0.24000084918478262,0.22792337080773373
19,kick,0.7508421,0.17824538,0.7940514,0.1961929,0.28635743,0.036506705,0.6521164,0.282317,0.0032586528,0.090845734,-39.26523,177.80898,0.021077711,0.047023628,4271.827555903265,2064.1507889221693,2704.4759790678413,825.5834409604264,10.538162911441553,9.484853537081925,0.33546302,0.217492,7246.390964673913,3201.133660871,0.04725959749014175,0.1963571118612934,-0.0011534344249035059,0.01011840970558023,0.3839164402173913,0.21645196441188125
20,kick,0.7840901,0.178668,0.6276404,0.20327292,0.2729745,0.09390569,0.59815013,0.2711688,0.015512238,0.3080857,-31.59432,145.39307,0.054395203,0.06780368,3195.8433901687076,2034.9981921888152,2366.4029501587734,626.2133955195072,12.019330554432011,11.138081273176685,0.18877204,0.21537358,5482.540760869565,3258.2910811422926,0.1887385161248183,0.43862104207375124,0.018911499058767284,0.04553447097373412,0.22981063179347827,0.20673791365212424
21,kick,0.7426975,0.19067226,0.65124357,0.24291785,0.26792157,0.1074773,0.5563877,0.29385325,0.015786348,0.4666528,-33.636097,158.2057,0.034391854,0.06487446,3272.813945390095,2416.847497281197,2340.3300108676376,878.6303194621157,10.930475726242827,9.675657679269534,0.24201275,0.2394947,5538.71433423913,3871.8911967422,0.09285958211435612,0.38513755569549657,-0.003907269585909376,0.00864149587184176,0.2611030910326087,0.2411178881534388
22,kick,0.84621644,0.13398221,0.81127846,0.143129,0.28310865,0.056416687,0.70657307,0.24900003,0.074269265,0.7418255,-25.416819,119.26868,0.1449155,0.1424987,1457.21556867788,404.75401576044226,2135.6901646552187,259.1813468658707,10.738870072741662,11.060068251776766,0.006729913,0.006725271,3600.3515625,793.918423783607,0.5928250202531571,1.1603002434932383,-0.0016100830733814064,0.02387756934236174,0.034375,0.012416561117726372
23,kick,0.8173355,0.18918274,0.6550441,0.19476084,0.26522171,0.113977075,0.60852164,0.24685626,0.1527652,1.625864,-22.960258,124.15318,0.21754922,0.10749123,1152.289264649009,1068.8522852150634,1778.7259904651069,535.9294401304211,11.543043608995557,10.161640074005142,0.013858589,0.031092722,2153.3203125,2207.5171789449146,0.8424870162398912,1.2901102775506064,0.0023691288443934626,0.009919755575921408,0.013881138392857142,0.009968789109905047
